FeatID,Average
366,14.08333333
367,13.41666667
368,19.41666667
369,8.75
370,11.5
371,14.91666667
372,9.333333333
373,9.75
374,13.58333333
375,16.41666667
376,11.58333333
377,9.833333333
378,10.58333333
379,23.33333333
380,9.666666667
381,15.5
382,13.41666667
383,17
384,10.625
385,8.416666667
386,12.33333333
387,11.25
388,10.91666667
389,14.5
390,16.5
391,71.625
392,16.33333333
393,3.875
394,6.666666667
395,48.33333333
396,18.33333333
397,63.66666667
398,15.75
399,16.08333333
400,45.08333333
401,38.25
402,8.333333333
403,13.16666667
404,6.75
405,12
406,66.41666667
407,12.58333333
408,17.58333333
409,9.625
410,19.75
411,15.66666667
412,11.16666667
413,40.875
414,13.08333333
415,10.125
416,11.41666667
417,12.75
418,21.75
419,8.083333333
420,18.41666667
421,7
422,12.375
423,16.16666667
424,15
425,7.75
426,29.83333333
427,11.16666667
428,12.41666667
429,48.41666667
430,8.5
431,13.33333333
432,20.83333333
433,14.41666667
434,11.08333333
435,47
436,38.83333333
437,21.83333333
438,31.5
439,11.66666667
440,11.58333333
441,42.25
442,6.75
443,10.5
444,32.25
445,12.25
446,5.833333333
447,9
448,11.08333333
449,10
450,19
451,14.08333333
452,8.625
453,8.166666667
454,49.91666667
455,10.5
456,57.25
457,43
458,13.875
459,24.66666667
460,9.666666667
461,14.91666667
462,31.25
463,45.5
464,10
465,17
466,7.666666667
467,18.08333333
468,18.58333333
469,7
470,18.33333333
471,8.666666667
472,12.33333333
473,15.16666667
474,7.125
475,19.41666667
476,16.33333333
477,9.75
478,48.08333333
479,10.66666667
480,21.25
481,17.66666667
482,11.83333333
483,50.5
484,15.08333333
485,8.333333333
486,13.625
487,35.16666667
488,16
489,5.375
490,10.58333333
491,8.625
492,15.625
493,24.41666667
494,58.875
495,17
496,9.583333333
497,28
498,14.41666667
499,15.58333333
500,63.25
501,17.91666667
502,14.125
503,8.416666667
504,7.666666667
505,13
506,28.91666667
507,10.41666667
508,20
509,5.875
510,11.16666667
511,13.16666667
512,18.5
513,35.75
514,6.333333333
515,20.625
516,43.58333333
517,13.83333333
518,6.916666667
519,14.75
520,10.25
521,14.25
522,33.25
523,10.16666667
524,9.5
525,8.125
526,8.75
527,6.833333333
528,22.16666667
529,18.75
530,40.83333333
531,9.666666667
532,12
533,9.833333333
534,9.583333333
535,35.5
536,8.875
537,20.25
538,10.5
539,16.08333333
540,10.75
541,44.75
542,26.16666667
543,22.5
544,13.75
545,9.75
546,14.83333333
547,14.125
548,20.91666667
549,11.125
550,6.25
551,29.375
552,11
553,67.5
554,9.5
555,10.08333333
556,21.75
557,16.75
558,25.875
559,16.66666667
560,11.75
561,8.666666667
562,37.75
563,20.41666667
564,12.66666667
565,7.75
566,30.83333333
567,8.833333333
568,14.375
569,11.875
570,12.91666667
571,7.5
572,11.08333333
573,12.33333333
574,14.66666667
575,12.58333333
576,12.25
577,13
578,15.66666667
579,15.91666667
580,11.91666667
581,14.5
582,10.75
583,14.625
584,12.25
585,54.66666667
586,10.16666667
587,8
588,23.125
589,11.875
590,9.583333333
591,26.91666667
592,30.08333333
593,13
594,14.5
595,22.08333333
596,15.75
597,7.166666667
598,12
599,7.166666667
600,9.333333333
601,45.41666667
602,10
603,31
604,28.58333333
605,27.66666667
606,11.66666667
607,21.25
608,30.5
609,14.08333333
610,14.83333333
611,10.5
612,40.33333333
613,3.5
614,43.41666667
615,5.875
616,17.08333333
617,7.416666667
618,12.625
619,46.125
620,21.33333333
621,16.16666667
622,11.25
623,9.25
624,32.16666667
625,9.75
626,19.33333333
627,10.58333333
628,11.25
629,12.83333333
630,40.41666667
631,30.33333333
632,9.5
633,15.58333333
634,14.91666667
635,9.25
636,18
637,13.66666667
638,10.25
639,15.08333333
640,10.75
641,28.66666667
642,6.5
643,25.5
644,20.16666667
645,28
646,12.25
647,17.75
648,13.33333333
649,8.333333333
650,37.33333333
651,10.75
652,13.75
653,30.08333333
654,11.66666667
655,5.666666667
656,35.75
657,9.333333333
658,50.75
659,15.125
660,14.41666667
661,6.875
662,10
663,16.33333333
664,13.91666667
665,17.83333333
666,6
667,25
668,15.75
669,9.916666667
670,41.08333333
671,7.166666667
672,6.25
673,16.91666667
674,3.75
675,9.875
676,10.83333333
677,20.5
678,13.41666667
679,9.25
680,15.33333333
681,18.33333333
682,62.75
683,8.625
684,8.625
685,6.25
686,6.5
687,15.5
688,9.125
689,13.5
690,16.375
691,18.66666667
692,12
693,45.25
694,43.41666667
695,16.25
696,22.16666667
697,38.08333333
698,13.41666667
699,20.83333333
700,9.083333333
701,9.5
702,14.41666667
703,59.16666667
704,16.91666667
705,5.375
706,11.58333333
707,15.08333333
708,13.91666667
709,13.75
710,15.25
711,10.16666667
712,12.625
713,16.66666667
714,9.083333333
715,9.75
716,11
717,9.5
718,10
719,39
720,13.25
721,48.91666667
722,9.875
723,17
724,16.625
725,16
726,10.16666667
727,18
728,10.91666667
729,17.33333333
730,22.91666667
731,7.416666667
732,13
733,18.625
734,15.75
735,12.08333333
