FeatID,Average
173,0.169763827
174,0.968305868
175,0.636407037
176,0.592669671
177,0.346428479
178,1.34794405
179,1.097287053
180,0.540386843
181,0.478781651
182,1.847092215
183,0.604326041
184,0.318107376
185,0.67624206
186,0.840976383
187,0.155256552
188,0.435141907
189,0.556422766
190,0.760766915
191,1.103429704
192,1.067084991
193,1.566344195
194,0.422004578
195,0.285475365
196,1.524405753
197,0.619917065
198,0.195266489
199,1.57025006
200,0.372933341
201,1.046831959
202,0.539567558
203,0.78612457
204,1.740286534
205,1.17315863
206,1.392457007
208,0.063819004
209,0.93683272
210,0.231276465
211,0.983899456
212,0.860493693
213,1.046292576
214,0.207235671
215,0.649302549
216,0.366576719
218,2.123422636
219,0.56777448
220,1.141012628
221,0.513935729
222,2.361847626
223,0.363644208
224,0.372999052
225,0.660113417
226,0.440465321
227,0.834790966
228,0.468965304
229,0.206382522
230,1.152009765
231,0.316653653
232,1.283629453
233,2.189519654
234,0.132693003
235,0.935317535
236,0.488751369
237,1.558682685
238,0.370219294
239,2.293886827
240,0.177662416
241,0.354790948
242,1.52434897
243,0.267129116
244,0.691406543
245,0.208619109
246,1.932176494
247,0.438772389
248,0.624274798
249,2.147175501
250,0.62732509
251,0.831026157
252,0.698524686
253,0.280517749
254,0.872666893
255,0.579362792
256,0.239130223
257,2.889518632
258,1.445820171
259,1.080199672
260,0.561483776
261,0.809504817
262,1.736478343
263,0.258310096
264,0.4828469
265,0.443927535
266,1.87490241
267,0.196178854
268,0.497597956
269,0.243417311
270,3.037178818
271,0.466662732
272,0.248511176
273,0.31074628
274,2.330590469
275,0.785235133
276,2.519449885
277,0.608064657
278,0.510254053
279,0.257263169
280,0.533930668
281,0.565889562
282,1.678756749
283,0.730546387
284,1.683256932
285,0.340054729
286,1.711992863
287,1.036989948
288,0.488243537
289,0.797266851
290,0.566683522
291,1.369776752
292,0.356024911
293,1.053874442
294,1.41332109
295,0.379544495
296,1.768256162
297,1.02159255
298,1.974364151
299,1.907417159
300,1.532953944
301,2.275953002
302,0.165535561
303,0.692149202
304,1.11254562
