FeatID,LogM2M1 X Attachment
885,0.179036128
972,0.321274592
1076,0.727960304
1264,0.605904065
1304,-0.089890001
1322,1.609673654
1604,0.940221007
1750,1.457873915
2026,0.963387107
2087,1.068725375
158,1.547363906
377,0.624544183
533,1.144592481
356,0.86214578
675,0.478232698
722,0.00802661
757,0.373229137
805,0.325123542
881,1.560043608
1063,1.497407251
1497,0.979524684
221,0.916195471
243,0.752426913
280,0.964400665
669,1.110976515
1424,1.253518222
1439,0.781800752
1471,0.930034945
1513,0.947638582
1586,1.233917187
272,1.031301142
362,1.076499033
449,0.675153719
602,0.927107083
718,1.229050676
807,0.593883966
1540,0.779763609
1672,0.610992297
1688,0.91366896
1993,0.050849703
2098,1.350860361
555,1.314647925
1435,0.655235202
1480,0.993628915
1620,1.111199342
29,0.3607011
55,2.223426746
82,0.385803358
185,1.037382161
312,1.46830845
415,0.671823205
1564,0.640775362
1876,1.010334046
2007,0.056380673
28,1.217561246
523,1.063673968
586,1.00548103
711,1.203423669
726,1.170857104
1160,1.244707128
1718,1.338949671
1973,1.775301388
1981,1.153447978
64,1.916682414
102,1.466945384
214,0.989501672
306,0.844678515
520,-0.004205368
819,1.323035242
902,1.193908881
1069,0.133749137
1260,1.034157692
1339,0.819001369
1454,1.304940356
1490,0.896001029
1575,0.694776811
1978,1.438095745
111,1.217400306
745,0.901842101
1066,1.014319529
1455,1.202452452
1826,1.117178705
1961,1.329701686
159,0.302724294
924,1.276272037
1013,0.377280695
58,1.792468769
119,0.932162449
241,0.902896484
507,1.202294239
900,1.19684036
1135,1.259130553
1381,1.510034366
1413,0.898989244
1797,1.196510275
72,1.08355485
74,0.457374495
443,1.285999748
455,1.03572121
538,0.955265225
611,0.524533812
830,1.541501345
1078,0.5925334
1293,1.530266154
1353,1.396962783
1487,1.417138478
1577,0.94250613
1616,1.704936538
1647,0.738301233
1836,1.593110154
1889,0.964408716
1907,1.547983445
188,1.921022483
225,1.782246308
378,1.092578263
490,1.836796373
627,1.031355653
1022,0.990133624
1175,1.321271072
1249,1.317363117
1585,1.545034829
1771,0.689828005
1803,0.723576724
1845,1.41153206
360,0.728128172
384,1.069164478
479,0.756567346
1267,1.263047528
1464,0.815265628
1589,1.375977303
1622,1.896633288
1626,1.59439424
1662,1.17178151
540,1.367342205
582,0.402580173
640,0.610644447
651,1.467197383
1159,1.072574506
1173,1.284963813
1189,1.434578537
1274,0.870003723
1297,-0.361575754
1376,1.284607447
1388,1.173833556
1486,1.30216216
1640,0.627728427
1860,0.539778443
2004,0.572874998
62,1.603023857
126,1.523469726
181,1.553572346
676,0.94321296
1035,1.669872318
1279,1.254758849
1521,1.142696188
1753,1.614528005
2171,1.325244505
197,1.806975565
216,1.872687125
1462,1.662821145
2001,1.660239855
11,1.075639198
388,1.653636046
728,1.074936295
870,0.934784937
